piece,_similarity
IMG_001_1_1_1_int.jpg,8.743384
IMG_001_1_1_2_int.jpg,10.018912
IMG_001_1_1_3_out.jpg,8.900332
IMG_001_1_1_4_int.jpg,9.273528
IMG_001_1_2_1_out.jpg,9.113888
IMG_001_1_2_2_int.jpg,8.723568
IMG_001_1_2_3_out.jpg,9.129144
IMG_001_1_2_4_int.jpg,8.375976
IMG_001_1_3_1_out.jpg,0.0
IMG_001_1_3_2_int.jpg,9.271076
IMG_001_1_3_3_out.jpg,8.542724
IMG_001_1_3_4_int.jpg,9.000444
IMG_001_1_4_2_int.jpg,9.066156
IMG_001_1_4_3_out.jpg,8.411224
IMG_001_1_4_4_int.jpg,9.198104
IMG_001_1_5_1_out.jpg,9.31596
IMG_001_1_5_2_int.jpg,9.445128
IMG_001_1_5_3_out.jpg,9.454828
IMG_001_1_5_4_int.jpg,7.968736
IMG_001_1_6_1_int.jpg,9.065816
IMG_001_1_6_2_out.jpg,8.673304
IMG_001_1_6_3_int.jpg,9.245088
IMG_001_1_6_4_out.jpg,7.70972
IMG_001_1_7_1_int.jpg,8.061476
IMG_001_1_7_2_out.jpg,8.46412
IMG_001_1_7_3_int.jpg,8.475548
IMG_001_1_7_4_out.jpg,9.055664
IMG_001_2_1_1_out.jpg,8.497168
IMG_001_2_1_2_int.jpg,9.207
IMG_001_2_1_3_out.jpg,8.702556
IMG_001_2_1_4_int.jpg,9.452344
IMG_001_2_2_1_out.jpg,9.3766
IMG_001_2_2_2_int.jpg,8.894136
IMG_001_2_2_3_out.jpg,9.389028
IMG_001_2_2_4_int.jpg,8.377088
IMG_001_2_3_1_int.jpg,8.909148
IMG_001_2_3_2_out.jpg,8.590304
IMG_001_2_3_3_int.jpg,10.006872
IMG_001_2_3_4_out.jpg,9.10682
IMG_001_2_4_1_out.jpg,8.713084
IMG_001_2_4_2_int.jpg,8.324664
IMG_001_2_4_3_out.jpg,9.567448
IMG_001_2_4_4_int.jpg,8.49466
IMG_001_2_5_1_out.jpg,8.250768
IMG_001_2_5_2_int.jpg,9.1554
IMG_001_2_5_3_out.jpg,8.584464
IMG_001_2_5_4_int.jpg,9.28888
IMG_001_2_6_1_out.jpg,9.045996
IMG_001_2_6_2_int.jpg,8.645908
IMG_001_2_6_3_out.jpg,9.59066
IMG_001_2_6_4_int.jpg,8.881268
IMG_001_2_7_1_int.jpg,9.492448
IMG_001_2_7_2_out.jpg,8.97522
IMG_001_2_7_3_int.jpg,9.627696
IMG_001_2_7_4_int.jpg,8.827552
IMG_001_3_1_1_out.jpg,8.705292
IMG_001_3_1_2_int.jpg,9.308656
IMG_001_3_1_3_out.jpg,8.649592
IMG_001_3_1_4_int.jpg,9.490056
