piece,_similarity
IMG_001_1_1_1_int.jpg,10.106852
IMG_001_1_1_2_int.jpg,10.83566
IMG_001_1_1_3_out.jpg,10.488032
IMG_001_1_1_4_int.jpg,10.621116
IMG_001_1_2_1_out.jpg,10.335692
IMG_001_1_2_2_int.jpg,10.176764
IMG_001_1_2_3_out.jpg,10.773044
IMG_001_1_2_4_int.jpg,8.753276
IMG_001_1_3_1_out.jpg,9.271076
IMG_001_1_3_2_int.jpg,0.0
IMG_001_1_3_3_out.jpg,10.19872
IMG_001_1_3_4_int.jpg,10.510752
IMG_001_1_4_2_int.jpg,10.038056
IMG_001_1_4_3_out.jpg,9.908404
IMG_001_1_4_4_int.jpg,10.51602
IMG_001_1_5_1_out.jpg,10.59402
IMG_001_1_5_2_int.jpg,10.374196
IMG_001_1_5_3_out.jpg,10.593712
IMG_001_1_5_4_int.jpg,9.569268
IMG_001_1_6_1_int.jpg,9.997748
IMG_001_1_6_2_out.jpg,10.1231
IMG_001_1_6_3_int.jpg,10.763412
IMG_001_1_6_4_out.jpg,9.534852
IMG_001_1_7_1_int.jpg,8.906568
IMG_001_1_7_2_out.jpg,9.0969
IMG_001_1_7_3_int.jpg,9.67912
IMG_001_1_7_4_out.jpg,10.507204
IMG_001_2_1_1_out.jpg,9.945724
IMG_001_2_1_2_int.jpg,10.05422
IMG_001_2_1_3_out.jpg,10.172768
IMG_001_2_1_4_int.jpg,10.646772
IMG_001_2_2_1_out.jpg,10.508172
IMG_001_2_2_2_int.jpg,10.428668
IMG_001_2_2_3_out.jpg,10.08144
IMG_001_2_2_4_int.jpg,9.448012
IMG_001_2_3_1_int.jpg,10.470104
IMG_001_2_3_2_out.jpg,9.721812
IMG_001_2_3_3_int.jpg,10.404508
IMG_001_2_3_4_out.jpg,10.562016
IMG_001_2_4_1_out.jpg,9.53684
IMG_001_2_4_2_int.jpg,9.958676
IMG_001_2_4_3_out.jpg,10.690996
IMG_001_2_4_4_int.jpg,9.133568
IMG_001_2_5_1_out.jpg,9.550076
IMG_001_2_5_2_int.jpg,9.971196
IMG_001_2_5_3_out.jpg,10.031484
IMG_001_2_5_4_int.jpg,10.556508
IMG_001_2_6_1_out.jpg,9.914264
IMG_001_2_6_2_int.jpg,9.986928
IMG_001_2_6_3_out.jpg,10.818224
IMG_001_2_6_4_int.jpg,9.708536
IMG_001_2_7_1_int.jpg,10.63098
IMG_001_2_7_2_out.jpg,10.5986
IMG_001_2_7_3_int.jpg,10.92274
IMG_001_2_7_4_int.jpg,10.116756
IMG_001_3_1_1_out.jpg,9.963504
IMG_001_3_1_2_int.jpg,9.914732
IMG_001_3_1_3_out.jpg,10.332804
IMG_001_3_1_4_int.jpg,10.702124
